"text","label"
"This is irritating me this week","Annoyance"
"This is irritating me at college","Annoyance"
"This is irritating me during the project","Annoyance"
"This is irritating me in this situation","Annoyance"
"This is irritating me right now","Annoyance"
"This is irritating me with my team","Annoyance"
"This is irritating me in class","Annoyance"
"This is irritating me after the meeting","Annoyance"
"This is irritating me this morning","Annoyance"
"This is irritating me tonight","Annoyance"
"This is irritating me in the lab","Annoyance"
"This is irritating me during practice","Annoyance"
"This is irritating me with friends","Annoyance"
"This is irritating me at home","Annoyance"
"I feel annoyed today","Annoyance"
"I feel annoyed this week","Annoyance"
"I feel annoyed at college","Annoyance"
"I feel annoyed during the project","Annoyance"
"I feel annoyed in this situation","Annoyance"
"I feel annoyed right now","Annoyance"
"I feel annoyed with my team","Annoyance"
"I feel annoyed in class","Annoyance"
"I feel annoyed after the meeting","Annoyance"
"I feel annoyed this morning","Annoyance"
"I feel annoyed tonight","Annoyance"
"I feel annoyed in the lab","Annoyance"
"I feel annoyed during practice","Annoyance"
"I feel annoyed with friends","Annoyance"
"I feel annoyed at home","Annoyance"
"That sound bothers me today","Annoyance"
"That sound bothers me this week","Annoyance"
"That sound bothers me at college","Annoyance"
"That sound bothers me during the project","Annoyance"
"That sound bothers me in this situation","Annoyance"
"That sound bothers me right now","Annoyance"
"That sound bothers me with my team","Annoyance"
"That sound bothers me in class","Annoyance"
"That sound bothers me after the meeting","Annoyance"
"That sound bothers me this morning","Annoyance"
"That sound bothers me tonight","Annoyance"
"That sound bothers me in the lab","Annoyance"
"That sound bothers me during practice","Annoyance"
"That sound bothers me with friends","Annoyance"
"That sound bothers me at home","Annoyance"
"I am frustrated by this today","Annoyance"
"I am frustrated by this this week","Annoyance"
"I am frustrated by this at college","Annoyance"
"I am frustrated by this during the project","Annoyance"
"I am frustrated by this in this situation","Annoyance"
"I am frustrated by this right now","Annoyance"
"I am frustrated by this with my team","Annoyance"
"I am frustrated by this in class","Annoyance"
"I am frustrated by this after the meeting","Annoyance"
"I am frustrated by this this morning","Annoyance"
"I am frustrated by this tonight","Annoyance"
"I am frustrated by this in the lab","Annoyance"
"I am frustrated by this during practice","Annoyance"
"I am frustrated by this with friends","Annoyance"
"I am frustrated by this at home","Annoyance"
"I approve this decision today","Approval"
"I approve this decision this week","Approval"
"I approve this decision at college","Approval"
"I approve this decision during the project","Approval"
"I approve this decision in this situation","Approval"
"I approve this decision right now","Approval"
"I approve this decision with my team","Approval"
"I approve this decision in class","Approval"
"I approve this decision after the meeting","Approval"
"I approve this decision this morning","Approval"
"I approve this decision tonight","Approval"
"I approve this decision in the lab","Approval"
"I approve this decision during practice","Approval"
"I approve this decision with friends","Approval"
"I approve this decision at home","Approval"
"I agree with this plan today","Approval"
"I agree with this plan this week","Approval"
"I agree with this plan at college","Approval"
"I agree with this plan during the project","Approval"
"I agree with this plan in this situation","Approval"
"I agree with this plan right now","Approval"
"I agree with this plan with my team","Approval"
"I agree with this plan in class","Approval"
"I agree with this plan after the meeting","Approval"
"I agree with this plan this morning","Approval"
"I agree with this plan tonight","Approval"
"I agree with this plan in the lab","Approval"
"I agree with this plan during practice","Approval"
"I agree with this plan with friends","Approval"
"I agree with this plan at home","Approval"
"This is a good choice today","Approval"
"This is a good choice this week","Approval"
"This is a good choice at college","Approval"
"This is a good choice during the project","Approval"
"This is a good choice in this situation","Approval"
"This is a good choice right now","Approval"
"This is a good choice with my team","Approval"
"This is a good choice in class","Approval"
"This is a good choice after the meeting","Approval"
"This is a good choice this morning","Approval"
"This is a good choice tonight","Approval"
"This is a good choice in the lab","Approval"
"This is a good choice during practice","Approval"
"This is a good choice with friends","Approval"
"This is a good choice at home","Approval"
"Well done on this today","Approval"
"Well done on this this week","Approval"
"Well done on this at college","Approval"
"Well done on this during the project","Approval"
"Well done on this in this situation","Approval"
"Well done on this right now","Approval"
"Well done on this with my team","Approval"
"Well done on this in class","Approval"
"Well done on this after the meeting","Approval"
"Well done on this this morning","Approval"
"Well done on this tonight","Approval"
"Well done on this in the lab","Approval"
"Well done on this during practice","Approval"
"Well done on this with friends","Approval"
"Well done on this at home","Approval"
"I care about you today","Caring"
"I care about you this week","Caring"
"I care about you at college","Caring"
"I care about you during the project","Caring"
"I care about you in this situation","Caring"
"I care about you right now","Caring"
"I care about you with my team","Caring"
"I care about you in class","Caring"
"I care about you after the meeting","Caring"
"I care about you this morning","Caring"
"I care about you tonight","Caring"
"I care about you in the lab","Caring"
"I care about you during practice","Caring"
"I care about you with friends","Caring"
"I care about you at home","Caring"
"I want to support you today","Caring"
"I want to support you this week","Caring"
"I want to support you at college","Caring"
"I want to support you during the project","Caring"
"I want to support you in this situation","Caring"
"I want to support you right now","Caring"
"I want to support you with my team","Caring"
"I want to support you in class","Caring"
"I want to support you after the meeting","Caring"
"I want to support you this morning","Caring"
"I want to support you tonight","Caring"
"I want to support you in the lab","Caring"
"I want to support you during practice","Caring"
"I want to support you with friends","Caring"
"I want to support you at home","Caring"
"I am concerned for you today","Caring"
"I am concerned for you this week","Caring"
"I am concerned for you at college","Caring"
"I am concerned for you during the project","Caring"
"I am concerned for you in this situation","Caring"
"I am concerned for you right now","Caring"
"I am concerned for you with my team","Caring"
"I am concerned for you in class","Caring"
"I am concerned for you after the meeting","Caring"
"I am concerned for you this morning","Caring"
"I am concerned for you tonight","Caring"
"I am concerned for you in the lab","Caring"
"I am concerned for you during practice","Caring"
"I am concerned for you with friends","Caring"
"I am concerned for you at home","Caring"
"I want to help you today","Caring"
"I want to help you this week","Caring"
"I want to help you at college","Caring"
"I want to help you during the project","Caring"
"I want to help you in this situation","Caring"
"I want to help you right now","Caring"
"I want to help you with my team","Caring"
"I want to help you in class","Caring"
"I want to help you after the meeting","Caring"
"I want to help you this morning","Caring"
"I want to help you tonight","Caring"
"I want to help you in the lab","Caring"
"I want to help you during practice","Caring"
"I want to help you with friends","Caring"
"I want to help you at home","Caring"
"I feel confused today","Confusion"
"I feel confused this week","Confusion"
"I feel confused at college","Confusion"
"I feel confused during the project","Confusion"
"I feel confused in this situation","Confusion"
"I feel confused right now","Confusion"
"I feel confused with my team","Confusion"
"I feel confused in class","Confusion"
"I feel confused after the meeting","Confusion"
"I feel confused this morning","Confusion"
"I feel confused tonight","Confusion"
"I feel confused in the lab","Confusion"
"I feel confused during practice","Confusion"
"I feel confused with friends","Confusion"
"I feel confused at home","Confusion"
"This is unclear to me today","Confusion"
"This is unclear to me this week","Confusion"
"This is unclear to me at college","Confusion"
"This is unclear to me during the project","Confusion"
"This is unclear to me in this situation","Confusion"
"This is unclear to me right now","Confusion"
"This is unclear to me with my team","Confusion"
"This is unclear to me in class","Confusion"
"This is unclear to me after the meeting","Confusion"
"This is unclear to me this morning","Confusion"
"This is unclear to me tonight","Confusion"
"This is unclear to me in the lab","Confusion"
"This is unclear to me during practice","Confusion"
"This is unclear to me with friends","Confusion"
"This is unclear to me at home","Confusion"
"I do not understand this today","Confusion"
"I do not understand this this week","Confusion"
"I do not understand this at college","Confusion"
"I do not understand this during the project","Confusion"
"I do not understand this in this situation","Confusion"
"I do not understand this right now","Confusion"
"I do not understand this with my team","Confusion"
"I do not understand this in class","Confusion"
"I do not understand this after the meeting","Confusion"
"I do not understand this this morning","Confusion"
"I do not understand this tonight","Confusion"
"I do not understand this in the lab","Confusion"
"I do not understand this during practice","Confusion"
"I do not understand this with friends","Confusion"
"I do not understand this at home","Confusion"
"I feel lost here today","Confusion"
"I feel lost here this week","Confusion"
"I feel lost here at college","Confusion"
"I feel lost here during the project","Confusion"
"I feel lost here in this situation","Confusion"
"I feel lost here right now","Confusion"
"I feel lost here with my team","Confusion"
"I feel lost here in class","Confusion"
"I feel lost here after the meeting","Confusion"
"I feel lost here this morning","Confusion"
"I feel lost here tonight","Confusion"
"I feel lost here in the lab","Confusion"
"I feel lost here during practice","Confusion"
"I feel lost here with friends","Confusion"
"I feel lost here at home","Confusion"
"I am curious about this today","Curiosity"
"I am curious about this this week","Curiosity"
"I am curious about this at college","Curiosity"
"I am curious about this during the project","Curiosity"
"I am curious about this in this situation","Curiosity"
"I am curious about this right now","Curiosity"
"I am curious about this with my team","Curiosity"
"I am curious about this in class","Curiosity"
"I am curious about this after the meeting","Curiosity"
"I am curious about this this morning","Curiosity"
"I am curious about this tonight","Curiosity"
"I am curious about this in the lab","Curiosity"
"I am curious about this during practice","Curiosity"
"I am curious about this with friends","Curiosity"
"I am curious about this at home","Curiosity"
"I want to know more today","Curiosity"
"I want to know more this week","Curiosity"
"I want to know more at college","Curiosity"
"I want to know more during the project","Curiosity"
"I want to know more in this situation","Curiosity"
"I want to know more right now","Curiosity"
"I want to know more with my team","Curiosity"
"I want to know more in class","Curiosity"
"I want to know more after the meeting","Curiosity"
"I want to know more this morning","Curiosity"
"I want to know more tonight","Curiosity"
"I want to know more in the lab","Curiosity"
"I want to know more during practice","Curiosity"
"I want to know more with friends","Curiosity"
"I want to know more at home","Curiosity"
"I wonder how this works today","Curiosity"
"I wonder how this works this week","Curiosity"
"I wonder how this works at college","Curiosity"
"I wonder how this works during the project","Curiosity"
"I wonder how this works in this situation","Curiosity"
"I wonder how this works right now","Curiosity"
"I wonder how this works with my team","Curiosity"
"I wonder how this works in class","Curiosity"
"I wonder how this works after the meeting","Curiosity"
"I wonder how this works this morning","Curiosity"
"I wonder how this works tonight","Curiosity"
"I wonder how this works in the lab","Curiosity"
"I wonder how this works during practice","Curiosity"
"I wonder how this works with friends","Curiosity"
"I wonder how this works at home","Curiosity"
"I am interested in this today","Curiosity"
"I am interested in this this week","Curiosity"
"I am interested in this at college","Curiosity"
"I am interested in this during the project","Curiosity"
"I am interested in this in this situation","Curiosity"
"I am interested in this right now","Curiosity"
"I am interested in this with my team","Curiosity"
"I am interested in this in class","Curiosity"
"I am interested in this after the meeting","Curiosity"
"I am interested in this this morning","Curiosity"
"I am interested in this tonight","Curiosity"
"I am interested in this in the lab","Curiosity"
"I am interested in this during practice","Curiosity"
"I am interested in this with friends","Curiosity"
"I am interested in this at home","Curiosity"
"I really want this today","Desire"
"I really want this this week","Desire"
"I really want this at college","Desire"
"I really want this during the project","Desire"
"I really want this in this situation","Desire"
"I really want this right now","Desire"
"I really want this with my team","Desire"
"I really want this in class","Desire"
"I really want this after the meeting","Desire"
"I really want this this morning","Desire"
"I really want this tonight","Desire"
"I really want this in the lab","Desire"
"I really want this during practice","Desire"
"I really want this with friends","Desire"
"I really want this at home","Desire"
"I strongly desire this today","Desire"
"I strongly desire this this week","Desire"
"I strongly desire this at college","Desire"
"I strongly desire this during the project","Desire"
"I strongly desire this in this situation","Desire"
"I strongly desire this right now","Desire"
"I strongly desire this with my team","Desire"
"I strongly desire this in class","Desire"
"I strongly desire this after the meeting","Desire"
"I strongly desire this this morning","Desire"
"I strongly desire this tonight","Desire"
"I strongly desire this in the lab","Desire"
"I strongly desire this during practice","Desire"
"I strongly desire this with friends","Desire"
"I strongly desire this at home","Desire"
"I wish to get this today","Desire"
"I wish to get this this week","Desire"
"I wish to get this at college","Desire"
"I wish to get this during the project","Desire"
"I wish to get this in this situation","Desire"
"I wish to get this right now","Desire"
"I wish to get this with my team","Desire"
"I wish to get this in class","Desire"
"I wish to get this after the meeting","Desire"
"I wish to get this this morning","Desire"
"I wish to get this tonight","Desire"
"I wish to get this in the lab","Desire"
"I wish to get this during practice","Desire"
"I wish to get this with friends","Desire"
"I wish to get this at home","Desire"
"I need this opportunity today","Desire"
"I need this opportunity this week","Desire"
"I need this opportunity at college","Desire"
"I need this opportunity during the project","Desire"
"I need this opportunity in this situation","Desire"
"I need this opportunity right now","Desire"
"I need this opportunity with my team","Desire"
"I need this opportunity in class","Desire"
"I need this opportunity after the meeting","Desire"
"I need this opportunity this morning","Desire"
"I need this opportunity tonight","Desire"
"I need this opportunity in the lab","Desire"
"I need this opportunity during practice","Desire"
"I need this opportunity with friends","Desire"
"I need this opportunity at home","Desire"
"I feel disappointed today","Disappointment"
"I feel disappointed this week","Disappointment"
"I feel disappointed at college","Disappointment"
"I feel disappointed during the project","Disappointment"
"I feel disappointed in this situation","Disappointment"
"I feel disappointed right now","Disappointment"
"I feel disappointed with my team","Disappointment"
"I feel disappointed in class","Disappointment"
"I feel disappointed after the meeting","Disappointment"
"I feel disappointed this morning","Disappointment"
"I feel disappointed tonight","Disappointment"
"I feel disappointed in the lab","Disappointment"
"I feel disappointed during practice","Disappointment"
"I feel disappointed with friends","Disappointment"
"I feel disappointed at home","Disappointment"
"This let me down today","Disappointment"
"This let me down this week","Disappointment"
"This let me down at college","Disappointment"
"This let me down during the project","Disappointment"
"This let me down in this situation","Disappointment"
"This let me down right now","Disappointment"
"This let me down with my team","Disappointment"
"This let me down in class","Disappointment"
"This let me down after the meeting","Disappointment"
"This let me down this morning","Disappointment"
"This let me down tonight","Disappointment"
"This let me down in the lab","Disappointment"
"This let me down during practice","Disappointment"
"This let me down with friends","Disappointment"
"This let me down at home","Disappointment"
"I expected better results today","Disappointment"
"I expected better results this week","Disappointment"
"I expected better results at college","Disappointment"
"I expected better results during the project","Disappointment"
"I expected better results in this situation","Disappointment"
"I expected better results right now","Disappointment"
"I expected better results with my team","Disappointment"
"I expected better results in class","Disappointment"
"I expected better results after the meeting","Disappointment"
"I expected better results this morning","Disappointment"
"I expected better results tonight","Disappointment"
"I expected better results in the lab","Disappointment"
"I expected better results during practice","Disappointment"
"I expected better results with friends","Disappointment"
"I expected better results at home","Disappointment"
"I am upset by this result today","Disappointment"
"I am upset by this result this week","Disappointment"
"I am upset by this result at college","Disappointment"
"I am upset by this result during the project","Disappointment"
"I am upset by this result in this situation","Disappointment"
"I am upset by this result right now","Disappointment"
"I am upset by this result with my team","Disappointment"
"I am upset by this result in class","Disappointment"
"I am upset by this result after the meeting","Disappointment"
"I am upset by this result this morning","Disappointment"
"I am upset by this result tonight","Disappointment"
"I am upset by this result in the lab","Disappointment"
"I am upset by this result during practice","Disappointment"
"I am upset by this result with friends","Disappointment"
"I am upset by this result at home","Disappointment"
"I disapprove this action today","Disapproval"
"I disapprove this action this week","Disapproval"
"I disapprove this action at college","Disapproval"
"I disapprove this action during the project","Disapproval"
"I disapprove this action in this situation","Disapproval"
"I disapprove this action right now","Disapproval"
"I disapprove this action with my team","Disapproval"
"I disapprove this action in class","Disapproval"
"I disapprove this action after the meeting","Disapproval"
"I disapprove this action this morning","Disapproval"
"I disapprove this action tonight","Disapproval"
"I disapprove this action in the lab","Disapproval"
"I disapprove this action during practice","Disapproval"
"I disapprove this action with friends","Disapproval"
"I disapprove this action at home","Disapproval"
"This is not okay today","Disapproval"
"This is not okay this week","Disapproval"
"This is not okay at college","Disapproval"
"This is not okay during the project","Disapproval"
"This is not okay in this situation","Disapproval"
"This is not okay right now","Disapproval"
"This is not okay with my team","Disapproval"
"This is not okay in class","Disapproval"
"This is not okay after the meeting","Disapproval"
"This is not okay this morning","Disapproval"
"This is not okay tonight","Disapproval"
"This is not okay in the lab","Disapproval"
"This is not okay during practice","Disapproval"
"This is not okay with friends","Disapproval"
"This is not okay at home","Disapproval"
"I disagree with this behavior today","Disapproval"
"I disagree with this behavior this week","Disapproval"
"I disagree with this behavior at college","Disapproval"
"I disagree with this behavior during the project","Disapproval"
"I disagree with this behavior in this situation","Disapproval"
"I disagree with this behavior right now","Disapproval"
"I disagree with this behavior with my team","Disapproval"
"I disagree with this behavior in class","Disapproval"
"I disagree with this behavior after the meeting","Disapproval"
"I disagree with this behavior this morning","Disapproval"
"I disagree with this behavior tonight","Disapproval"
"I disagree with this behavior in the lab","Disapproval"
"I disagree with this behavior during practice","Disapproval"
"I disagree with this behavior with friends","Disapproval"
"I disagree with this behavior at home","Disapproval"
"This is a bad idea today","Disapproval"
"This is a bad idea this week","Disapproval"
"This is a bad idea at college","Disapproval"
"This is a bad idea during the project","Disapproval"
"This is a bad idea in this situation","Disapproval"
"This is a bad idea right now","Disapproval"
"This is a bad idea with my team","Disapproval"
"This is a bad idea in class","Disapproval"
"This is a bad idea after the meeting","Disapproval"
"This is a bad idea this morning","Disapproval"
"This is a bad idea tonight","Disapproval"
"This is a bad idea in the lab","Disapproval"
"This is a bad idea during practice","Disapproval"
"This is a bad idea with friends","Disapproval"
"This is a bad idea at home","Disapproval"
"This is disgusting today","Disgust"
"This is disgusting this week","Disgust"
"This is disgusting at college","Disgust"
"This is disgusting during the project","Disgust"
"This is disgusting in this situation","Disgust"
"This is disgusting right now","Disgust"
"This is disgusting with my team","Disgust"
"This is disgusting in class","Disgust"
"This is disgusting after the meeting","Disgust"
"This is disgusting this morning","Disgust"
"This is disgusting tonight","Disgust"
"This is disgusting in the lab","Disgust"
"This is disgusting during practice","Disgust"
"This is disgusting with friends","Disgust"
"This is disgusting at home","Disgust"
"That smell is gross today","Disgust"
"That smell is gross this week","Disgust"
"That smell is gross at college","Disgust"
"That smell is gross during the project","Disgust"
"That smell is gross in this situation","Disgust"
"That smell is gross right now","Disgust"
"That smell is gross with my team","Disgust"
"That smell is gross in class","Disgust"
"That smell is gross after the meeting","Disgust"
"That smell is gross this morning","Disgust"
"That smell is gross tonight","Disgust"
"That smell is gross in the lab","Disgust"
"That smell is gross during practice","Disgust"
"That smell is gross with friends","Disgust"
"That smell is gross at home","Disgust"
"This feels revolting today","Disgust"
"This feels revolting this week","Disgust"
"This feels revolting at college","Disgust"
"This feels revolting during the project","Disgust"
"This feels revolting in this situation","Disgust"
"This feels revolting right now","Disgust"
"This feels revolting with my team","Disgust"
"This feels revolting in class","Disgust"
"This feels revolting after the meeting","Disgust"
"This feels revolting this morning","Disgust"
"This feels revolting tonight","Disgust"
"This feels revolting in the lab","Disgust"
"This feels revolting during practice","Disgust"
"This feels revolting with friends","Disgust"
"This feels revolting at home","Disgust"
"This is nasty today","Disgust"
"This is nasty this week","Disgust"
"This is nasty at college","Disgust"
"This is nasty during the project","Disgust"
"This is nasty in this situation","Disgust"
"This is nasty right now","Disgust"
"This is nasty with my team","Disgust"
"This is nasty in class","Disgust"
"This is nasty after the meeting","Disgust"
"This is nasty this morning","Disgust"
"This is nasty tonight","Disgust"
"This is nasty in the lab","Disgust"
"This is nasty during practice","Disgust"
"This is nasty with friends","Disgust"
"This is nasty at home","Disgust"
"I feel embarrassed today","Embarrassment"
"I feel embarrassed this week","Embarrassment"
"I feel embarrassed at college","Embarrassment"
"I feel embarrassed during the project","Embarrassment"
"I feel embarrassed in this situation","Embarrassment"
"I feel embarrassed right now","Embarrassment"
"I feel embarrassed with my team","Embarrassment"
"I feel embarrassed in class","Embarrassment"
"I feel embarrassed after the meeting","Embarrassment"
"I feel embarrassed this morning","Embarrassment"
"I feel embarrassed tonight","Embarrassment"
"I feel embarrassed in the lab","Embarrassment"
"I feel embarrassed during practice","Embarrassment"
"I feel embarrassed with friends","Embarrassment"
"I feel embarrassed at home","Embarrassment"
"This is awkward for me today","Embarrassment"
"This is awkward for me this week","Embarrassment"
"This is awkward for me at college","Embarrassment"
"This is awkward for me during the project","Embarrassment"
"This is awkward for me in this situation","Embarrassment"
"This is awkward for me right now","Embarrassment"
"This is awkward for me with my team","Embarrassment"
"This is awkward for me in class","Embarrassment"
"This is awkward for me after the meeting","Embarrassment"
"This is awkward for me this morning","Embarrassment"
"This is awkward for me tonight","Embarrassment"
"This is awkward for me in the lab","Embarrassment"
"This is awkward for me during practice","Embarrassment"
"This is awkward for me with friends","Embarrassment"
"This is awkward for me at home","Embarrassment"
"I feel ashamed now today","Embarrassment"
"I feel ashamed now this week","Embarrassment"
"I feel ashamed now at college","Embarrassment"
"I feel ashamed now during the project","Embarrassment"
"I feel ashamed now in this situation","Embarrassment"
"I feel ashamed now right now","Embarrassment"
"I feel ashamed now with my team","Embarrassment"
"I feel ashamed now in class","Embarrassment"
"I feel ashamed now after the meeting","Embarrassment"
"I feel ashamed now this morning","Embarrassment"
"I feel ashamed now tonight","Embarrassment"
"I feel ashamed now in the lab","Embarrassment"
"I feel ashamed now during practice","Embarrassment"
"I feel ashamed now with friends","Embarrassment"
"I feel ashamed now at home","Embarrassment"
"That was a cringe moment today","Embarrassment"
"That was a cringe moment this week","Embarrassment"
"That was a cringe moment at college","Embarrassment"
"That was a cringe moment during the project","Embarrassment"
"That was a cringe moment in this situation","Embarrassment"
"That was a cringe moment right now","Embarrassment"
"That was a cringe moment with my team","Embarrassment"
"That was a cringe moment in class","Embarrassment"
"That was a cringe moment after the meeting","Embarrassment"
"That was a cringe moment this morning","Embarrassment"
"That was a cringe moment tonight","Embarrassment"
"That was a cringe moment in the lab","Embarrassment"
"That was a cringe moment during practice","Embarrassment"
"That was a cringe moment with friends","Embarrassment"
"That was a cringe moment at home","Embarrassment"
"I am very excited today","Excitement"
"I am very excited this week","Excitement"
"I am very excited at college","Excitement"
"I am very excited during the project","Excitement"
"I am very excited in this situation","Excitement"
"I am very excited right now","Excitement"
"I am very excited with my team","Excitement"
"I am very excited in class","Excitement"
"I am very excited after the meeting","Excitement"
"I am very excited this morning","Excitement"
"I am very excited tonight","Excitement"
"I am very excited in the lab","Excitement"
"I am very excited during practice","Excitement"
"I am very excited with friends","Excitement"
"I am very excited at home","Excitement"
"I am thrilled about this today","Excitement"
"I am thrilled about this this week","Excitement"
"I am thrilled about this at college","Excitement"
"I am thrilled about this during the project","Excitement"
"I am thrilled about this in this situation","Excitement"
"I am thrilled about this right now","Excitement"
"I am thrilled about this with my team","Excitement"
"I am thrilled about this in class","Excitement"
"I am thrilled about this after the meeting","Excitement"
"I am thrilled about this this morning","Excitement"
